ID,MEDV
0,19.99
1,24.99
2,16.35
3,17.03
4,24.45
5,19.62
6,18.42
7,18.98
8,34.48
9,24.11
10,22.76
11,19.47
12,17.10
13,17.49
14,16.79
15,23.27
16,17.21
17,24.27
18,19.81
19,22.52
20,27.26
21,44.59
22,21.92
23,12.28
24,12.36
25,26.06
26,16.20
27,18.37
28,23.08
29,11.56
30,37.91
31,18.15
32,17.00
33,17.21
34,22.44
35,19.97
36,28.90
37,33.50
38,45.18
39,27.71
40,18.76
41,42.73
42,23.35
43,14.29
44,19.84
45,23.48
46,21.82
47,20.82
48,16.32
49,14.63
50,16.91
51,32.17
52,20.59
53,-0.05
54,13.11
55,13.51
56,18.19
57,13.14
58,7.62
59,18.10
60,18.57
61,19.65
62,37.11
63,21.48
64,47.79
65,29.71
66,13.72
67,20.02
68,22.50
69,13.74
70,18.70
71,20.58
72,25.89
73,18.99
74,18.87
75,19.52
76,17.15
77,26.88
78,17.60
79,33.54
80,34.83
81,43.53
82,29.20
83,27.64
84,16.93
85,34.23
86,14.52
87,28.66
88,14.63
89,18.99
90,12.58
91,19.12
92,15.01
93,21.73
94,18.11
95,23.25
96,40.70
97,12.22
98,15.08
99,27.88
100,23.48
101,16.94
102,27.46
103,32.58
104,36.02
