1.00,0.00,0.00,8.00,0.00,0.00,6.00,88.00,4.00,4.00,307.00,21.00,306.00,17.00
1.00,0.00,28.00,15.00,0.00,0.00,6.00,28.00,3.00,4.00,270.00,18.00,396.00,6.00
1.00,1.00,0.00,19.00,0.00,0.00,6.00,97.00,1.00,5.00,403.00,14.00,363.00,4.00
1.00,5.00,0.00,18.00,0.00,0.00,6.00,100.00,2.00,24.00,666.00,20.00,395.00,16.00
1.00,0.00,0.00,3.00,0.00,0.00,6.00,32.00,5.00,4.00,430.00,16.00,368.00,9.00
1.00,0.00,80.00,1.00,0.00,0.00,5.00,19.00,10.00,4.00,334.00,22.00,376.00,5.00
1.00,51.00,0.00,18.00,0.00,0.00,5.00,100.00,1.00,24.00,666.00,20.00,2.00,10.00
1.00,3.00,0.00,19.00,1.00,0.00,5.00,100.00,1.00,5.00,403.00,14.00,396.00,26.00
1.00,1.00,0.00,8.00,0.00,0.00,5.00,29.00,4.00,4.00,307.00,21.00,386.00,6.00
1.00,0.00,0.00,9.00,0.00,0.00,5.00,71.00,4.00,4.00,304.00,18.00,396.00,15.00
1.00,0.00,20.00,3.00,0.00,0.00,8.00,67.00,2.00,5.00,264.00,13.00,384.00,7.00
1.00,0.00,34.00,6.00,0.00,0.00,6.00,40.00,5.00,7.00,329.00,16.00,395.00,9.00
1.00,3.00,0.00,18.00,1.00,0.00,6.00,91.00,2.00,24.00,666.00,20.00,391.00,13.00
1.00,38.00,0.00,18.00,0.00,0.00,5.00,100.00,1.00,24.00,666.00,20.00,396.00,30.00
1.00,0.00,0.00,6.00,1.00,0.00,6.00,88.00,2.00,8.00,307.00,17.00,391.00,9.00
1.00,15.00,0.00,18.00,0.00,0.00,5.00,95.00,1.00,24.00,666.00,20.00,7.00,24.00
1.00,6.00,0.00,18.00,0.00,0.00,6.00,74.00,2.00,24.00,666.00,20.00,97.00,12.00
1.00,5.00,0.00,18.00,0.00,0.00,6.00,89.00,2.00,24.00,666.00,20.00,393.00,10.00
1.00,0.00,80.00,4.00,0.00,0.00,6.00,27.00,5.00,4.00,245.00,19.00,396.00,3.00
1.00,12.00,0.00,18.00,0.00,0.00,5.00,87.00,1.00,24.00,666.00,20.00,291.00,14.00
1.00,0.00,0.00,4.00,0.00,0.00,6.00,33.00,3.00,5.00,296.00,16.00,390.00,5.00
1.00,0.00,0.00,6.00,0.00,0.00,5.00,68.00,3.00,8.00,307.00,17.00,378.00,11.00
1.00,0.00,0.00,21.00,0.00,0.00,6.00,98.00,2.00,4.00,437.00,21.00,394.00,16.00
1.00,0.00,0.00,9.00,0.00,0.00,6.00,52.00,2.00,4.00,304.00,18.00,396.00,5.00
1.00,0.00,0.00,6.00,0.00,0.00,6.00,61.00,3.00,8.00,307.00,17.00,376.00,10.00
